Name,audioID,Folder,Class,Duration,Gender
"LS ｜ V. Vaithilingam_s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00017.mp3,1,1,285.01,M
LS ｜ Supriya Sule_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00018.mp3,1,1,685.04,F
"LS ｜ Sudhakar Singh_s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00019.mp3,1,1,465.03,M
"LS ｜ Hanuman Beniwal’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00020.mp3,1,1,364.99,M
"LS ｜ Supriya Sule_s Remarks ｜The Readjustment of Representation of ST State of Goa Bill, 2024.mp3",Audio_01_00021.mp3,1,1,585,F
LS ｜ Manish Tewari_s Remarks｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00022.mp3,1,1,705.17,M
LS ｜ Sudhakar Singh_s Remarks｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00023.mp3,1,1,365.02,M
LS ｜ C. N. Annadurai_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00024.mp3,1,1,270.02,M
"LS ｜ K. Subbarayan_s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00025.mp3,1,1,304.99,M
The First Presidential Debate： Hillary Clinton And Donald Trump (Full Debate) ｜ NBC News.mp3,Audio_01_00026.mp3,1,1,5937.77,F
Akhilesh Yadav’s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00027.mp3,1,1,1750.02,M
"LS ｜ Ganesh Singh’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00028.mp3,1,1,615,M
LS ｜ Darshan Singh Choudhary_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00029.mp3,1,1,485.02,M
Awadhesh Prasad’s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00030.mp3,1,1,535.03,M
LS ｜ D. M. Kathir Anand_s Remarks｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00031.mp3,1,1,695.02,M
LIVE： Former President Joe Biden Delivers a Speech Following Donald Trump_s inauguration ｜ N18G.mp3,Audio_01_00032.mp3,1,1,14220.02,M
LS ｜ Dr. Gumma Thanuja Rani_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00033.mp3,1,1,380.02,F
Vishaldada Prakashbapu Patil_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00034.mp3,1,1,270,M
JUST CHATTING 🔥✨#payalgaming #payalgaminglive.mp3,Audio_01_00035.mp3,1,1,4520.02,F
LS ｜ Anand Bhadauriya_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00036.mp3,1,1,310.01,M
"LS ｜ Winter Session ｜ Time： 11_00 AM - 11： 02 AM ｜ 18 December, 2024.mp3",Audio_01_00037.mp3,1,1,160.01,M
FM Nirmala Sitharaman_s Reply ｜ Supplementary Demands for Grants - First Batch for 2024-2025.mp3,Audio_01_00038.mp3,1,1,3750.02,F
Alfred Kanngam S.Arthur Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00039.mp3,1,1,383.12,M
Smt. Pratibha Patil at The National Conference Of Women Legislators.mp3,Audio_01_00040.mp3,1,1,976.72,F
"LS ｜ Durai Vaiko_s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00041.mp3,1,1,240,M
"LS ｜ Question Hour ｜ Winter Session 2024 ｜ 11_00 AM - 12_00 PM ｜ 17 December, 2024.mp3",Audio_01_00042.mp3,1,1,3570,M
"MoS (IC) Arjun Ram Meghwal moves The Readjustment of Representation of ST State of Goa Bill, 2024.mp3",Audio_01_00043.mp3,1,1,185.02,M
RS ｜ Dr. Dinesh Sharma_s Remarks ｜ Discussion on Journey of 75 Years of Constitution of India.mp3,Audio_01_00044.mp3,1,1,935.02,M
"LS ｜ Lovely Anand’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00045.mp3,1,1,195.02,F
"LS ｜ Dr. Gumma Thanuja Rani’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00046.mp3,1,1,505.01,F
"LS ｜ Anil Baluni’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00047.mp3,1,1,429.99,M
"LS ｜ Captain Viriato Fernandes’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00048.mp3,1,1,549.24,M
"FM Nirmala Sitharaman introduces The Appropriation (No.3) Bill, 2024 in Lok Sabha.mp3",Audio_01_00049.mp3,1,1,425.02,F
"LS ｜ Pratima Mondal_s Remarks ｜ The Readjustment of Representation of ST State of Goa Bill, 2024.mp3",Audio_01_00050.mp3,1,1,415.01,F
Mian Altaf Ahmad_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00051.mp3,1,1,405,M
"LS ｜ Adv. Gowaal Kagada Padavi’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00052.mp3,1,1,438.57,M
"LS ｜ Arun Govil’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00053.mp3,1,1,349.99,M
"LS ｜ Putta Mahesh Kumar’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00054.mp3,1,1,295.01,M
"LS ｜ Kesineni Sivanath’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00055.mp3,1,1,294.99,M
LS Speaker_s Remarks ｜ Constitution Debate in Lok Sabha ｜ Winter session of Parliament.mp3,Audio_01_00056.mp3,1,1,490.01,M
LS ｜ Jugal Kishore_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00057.mp3,1,1,565.01,M
N. K. Premachandran_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00058.mp3,1,1,721.8,M
"LS ｜ Asaduddin Owaisi’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00059.mp3,1,1,345.03,M
LS ｜ Lalji Verma’s Remarks｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00060.mp3,1,1,695.02,M
"LS ｜ Shrirang Appa Barne’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00061.mp3,1,1,365.02,M
LS ｜ Sudhakar Singh_s Remarks｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00062.mp3,1,1,385.01,M
"LS ｜ K. RadhaKrishnan_s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00063.mp3,1,1,535.01,M
"LS ｜ Gurmeet Singh Meet Hayer’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00064.mp3,1,1,285.14,M
Priya Saroj_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00065.mp3,1,1,310.01,F
LS ｜ Adv Chandrashekhar_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00066.mp3,1,1,455.02,M
President Droupadi Murmu_s Address to the Nation on the eve of the 74th Republic Day (English).mp3,Audio_01_00067.mp3,1,1,1346.5,F
"LS ｜ Navaskani K.’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00068.mp3,1,1,522.36,M
Dr. Thol Thirumaavalavan’s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution.mp3,Audio_01_00069.mp3,1,1,420.03,M
"PM Modi Live ｜ PM Modi Rally In Rohini, Delhi ｜ PM Modi Speech ｜ PM Modi News ｜ Delhi Assembly Polls.mp3",Audio_01_00070.mp3,1,1,12715.01,M
"Kalyan Banerjee_s Remarks ｜ The Disaster Management (Amendment) Bill, 2024 ｜ 11 December 2024.mp3",Audio_01_00071.mp3,1,1,1551.2,M
Kalyan Banerjee_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00072.mp3,1,1,1217.48,M
"Naresh Ganpat Mhaske_s Remarks ｜ The Readjustment of Representation of ST State of Goa Bill, 2024.mp3",Audio_01_00073.mp3,1,1,440.02,M
"LS ｜ Dr. Indra Hand Subba’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00074.mp3,1,1,350.02,M
Pratibha Patil addresses joint session of Parliament.mp3,Audio_01_00075.mp3,1,1,690.26,F
Prof. Varsha Eknath Gaikwad_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00076.mp3,1,1,460.01,F
LS ｜ Eswarasamy K_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00077.mp3,1,1,330,M
"LS ｜ Winter Session 2024 ｜ 04_40 PM To 04_43 PM ｜ 11 December, 2024.mp3",Audio_01_00078.mp3,1,1,245.02,M
LS ｜ K. Subbarayan_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00079.mp3,1,1,310.01,M
Anupriya Patel_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00080.mp3,1,1,880.01,F
"MoS Nityanand Rai_s Reply ｜ The Disaster Management (Amendment) Bill, 2024..mp3",Audio_01_00081.mp3,1,1,2910.04,M
"LS ｜ Rajesh Ranjan’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00082.mp3,1,1,435.07,M
Hibi Eden’s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00083.mp3,1,1,625.01,M
Dr. Amol Ramsing’s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00084.mp3,1,1,855.01,M
"LS ｜ Winter Session ｜ Time ： 17_16 PM -17_25 PM ｜ 13 December, 2024.mp3",Audio_01_00085.mp3,1,1,595.01,F
Just chatting with my sister 👀❤️Day 12.mp3,Audio_01_00086.mp3,1,1,3164.53,F
"LS ｜ Mian Altaf Ahmad’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00087.mp3,1,1,334.99,M
LS ｜ Raja Ram Singh_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00088.mp3,1,1,296.6,M
LS ｜ P.P. Chaudhary_s Remarks｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00089.mp3,1,1,1090.87,M
Praniti Shinde_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00090.mp3,1,1,400.32,F
"LS ｜ Chandan Chauhan’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00091.mp3,1,1,330,M
LS ｜ Shashank Mani_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00092.mp3,1,1,365.02,M
LS｜ Magunta Sreenivasulu Reddy_s Remarks｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00093.mp3,1,1,465.03,M
Baat Cheet w Kaash 🧡.mp3,Audio_01_00094.mp3,1,1,11872.2,F
Raj Kumar Roat’s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00095.mp3,1,1,425.02,M
"LS ｜ Tapir Gao_s Remarks ｜ The Readjustment of Representation of ST State of Goa Bill, 2024.mp3",Audio_01_00096.mp3,1,1,640.01,M
Exclusive： Sonia Gandhi Full Interview With Rajdeep Sardesai.mp3,Audio_01_00097.mp3,1,1,2243.78,F
"LS ｜ Adv. Chandrashekhar’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00098.mp3,1,1,335.02,M
Rajiv Ranjan Singh_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00099.mp3,1,1,1050.01,M
"LS ｜ Shyamkumar Daulat Barve’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00100.mp3,1,1,310.01,M
Imran Masood_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00101.mp3,1,1,435,M
K. Subbarayan’s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00102.mp3,1,1,475.01,M
Kiren Rijiju’s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00103.mp3,1,1,4370.02,M
Dr. Byreddy Shabari_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00104.mp3,1,1,570.03,F
LS ｜ Jagdambika Pal_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00105.mp3,1,1,895.01,M
"LS ｜ Chhotelal_s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00106.mp3,1,1,434.75,M
"LS ｜ Question Hour ｜ Winter Session 2024 ｜ 11_00 AM - 12_00 PM ｜ 12 December, 2024.mp3",Audio_01_00107.mp3,1,1,3601.56,M
"LS ｜ Papers laid on the table ｜ Standing Committee Report ｜ Statements by Ministers ｜ 18 Dec, 2024.mp3",Audio_01_00108.mp3,1,1,570.03,M
Kumari Selja_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00109.mp3,1,1,500,F
Ravi Shankar Prasad_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00110.mp3,1,1,1550,M
T. R. Baalu_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00111.mp3,1,1,790.01,M
Mohammad Jawed_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00112.mp3,1,1,370.03,M
"Dr. Kirsan Namdeo_s Remarks ｜ The Readjustment of Representation of ST State of Goa Bill, 2024.mp3",Audio_01_00113.mp3,1,1,365.02,M
"LS ｜ Rajesh Verma_s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00114.mp3,1,1,440.02,M
LS ｜ Naresh Ganpat Mhaske_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00115.mp3,1,1,585.03,M
"LS ｜ Anil Yeshwant Desai_s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00116.mp3,1,1,495,M
"LS ｜ Zero Hour ｜ Winter Session 2024 ｜ 1_00 PM To 02_03 PM ｜ 16 December, 2024.mp3",Audio_01_00117.mp3,1,1,3779.95,F
LS ｜ Hanuman Beniwal_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00118.mp3,1,1,180.02,M
R Ranjan alias Pappu Yadav_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00119.mp3,1,1,440.02,M
LIVE： BSP Chief Mayawati Press Conference ｜ Lucknow ｜ BJP ｜ SP ｜ Reservation ｜ Mayawati Birthday.mp3,Audio_01_00120.mp3,1,1,3900,F
Dr. Amar Singh_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00121.mp3,1,1,395.02,M
Abhijit Gangopadhyay_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00122.mp3,1,1,315.03,M
"MoS (IC), Law & Justice Arjun Ram Meghwal introduces 02 bills in Lok Sabha.mp3",Audio_01_00123.mp3,1,1,3785.68,M
"LS ｜ Virendra Singh’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00124.mp3,1,1,425.02,M
INDIA Bloc_s Mega Rally LIVE｜ Rally In Delhi ｜CM Arvind Kejriwal_s Arrest ｜ Lok Sabha Polls Coverage.mp3,Audio_01_00125.mp3,1,1,21458.37,F
"LS ｜ Question Hour ｜ Winter Session 2024 ｜ 11_00 AM - 12_00 PM ｜ 13 December, 2024.mp3",Audio_01_00126.mp3,1,1,3495.02,F
"LS ｜Dr. Alok Kumar Suman_s Remarks ｜The Readjustment of Representation of ST State of Goa Bill, 2024.mp3",Audio_01_00127.mp3,1,1,315,M
"LS ｜ Vishaldada Prakashbapu Patil’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00128.mp3,1,1,225.02,M
M.Mallesh Babu’s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00129.mp3,1,1,349.99,M
"LS ｜ Papers laid on the table ｜ Standing Committee Report ｜  16 Dec, 2024.mp3",Audio_01_00130.mp3,1,1,215.02,M
"Captain Viriato Fernandes_ Remarks ｜The Readjustment of Representation of ST State of Goa Bill, 2024.mp3",Audio_01_00131.mp3,1,1,585,M
LS ｜ Kiren Rijiju’s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00132.mp3,1,1,65.02,M
"LS ｜ M. Mallesh Babu’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00133.mp3,1,1,200.02,M
LS ｜ Ravindra Dattaram Waikar_s Remarks｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00134.mp3,1,1,345,M
"LS ｜ Santosh Pandey_s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00135.mp3,1,1,349.99,M
Bhartruhari Mahtab_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00136.mp3,1,1,1720.02,M
Mahua Moitra’s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00137.mp3,1,1,1002.92,F
"Zia Ur Rehman’s Remarks｜ Discussion on the Journey of 75 Years of the Constitution ｜ 14 Dec, 2024.mp3",Audio_01_00138.mp3,1,1,380.02,M
The Second Presidential Debate： Hillary Clinton and Donald Trump (Full Debate) ｜ CNBC.mp3,Audio_01_00139.mp3,1,1,5534.22,F
Arvind Kejriwal की Haryana के Rewari में जनसभा कार्यक्रम ｜ AAP Haryana ｜ Haryana Elections 2024.mp3,Audio_01_00140.mp3,1,1,2360.35,M
LS ｜ Raj Nath Singh_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00141.mp3,1,1,4005,M
"Tejasvi Surya’s Remarks｜ Discussion on the Journey of 75 Years of the Constitution ｜ 14 Dec, 2024.mp3",Audio_01_00142.mp3,1,1,1120.01,M
"LS ｜ Obituary References made by Lok Sabha Speaker ｜ 14 December, 2024.mp3",Audio_01_00143.mp3,1,1,335.8,M
"Dhaval Laxmanbhai Patel_s Remarks ｜The Readjustment of Representation of ST State of Goa Bill, 2024.mp3",Audio_01_00144.mp3,1,1,740.02,M
Malvinder Singh Kang’s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00145.mp3,1,1,455,M
"LS ｜ N. K. Premachandran’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00146.mp3,1,1,550.01,M
"LS ｜ Umeshbhai Babubhai Patel’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00147.mp3,1,1,240.02,M
Priyanka Gandhi Vadra_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00148.mp3,1,1,1916.44,F
"LS ｜ Anand Bhadauriya’s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00149.mp3,1,1,310.01,M
Kamala Harris_s full speech to the Democratic National Convention.mp3,Audio_01_00150.mp3,1,1,2258.2,F
Anurag Singh Thakur_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00151.mp3,1,1,310.01,M
Kodikunnil Suresh_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00152.mp3,1,1,400.01,M
LS ｜ Nishikant Dubey_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00153.mp3,1,1,565.01,M
Raja Ram Singh_s  Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00154.mp3,1,1,420.03,M
Adv. Chandrashekhar_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00155.mp3,1,1,410.04,M
S. Jothimani_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00156.mp3,1,1,236.36,F
"Live ： Corner Meeting, Smt Priyanka Gandhi Ji,Pothukallu, Nilambur LAC, Wayanad.mp3",Audio_01_00157.mp3,1,1,1590.01,F
Gurumoorthy Maddila_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00158.mp3,1,1,425.02,M
"Lok Sabha Speaker Om Birla welcomes the Armenian Parliamentary delegation ｜ 17 December, 2024.mp3",Audio_01_00160.mp3,1,1,135.02,M
Sanjay Singh Speech： Rajya Sabha में संजय सिंह का दिखा रौद्र रुप ｜ JP Nadda ｜ AAP ｜ Delhi Voter List.mp3,Audio_01_00161.mp3,1,1,777.29,M
Arvind Ganpat Sawant’s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00162.mp3,1,1,1060.01,M
Lok Sabha pays tribute to martyrs who sacrificed lives during Parliament attack.mp3,Audio_01_00163.mp3,1,1,145.01,M
Aparajita Sarangi_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00164.mp3,1,1,395.02,F
"LS ｜ Winter Session 2024 ｜ 1_00 PM To 01_02 PM ｜ 12 December, 2024.mp3",Audio_01_00165.mp3,1,1,70.01,F
Sribharat Mathukumili_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00166.mp3,1,1,315.03,M
LS ｜ Chamala Kiran K. Reddy_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00167.mp3,1,1,400.01,M
LS ｜ Dr. M K Vishnuprasad_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00168.mp3,1,1,470.36,M
LS ｜ Durai Vaiko_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00169.mp3,1,1,250.01,M
Rahul Gandhi’s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00170.mp3,1,1,1600.02,M
Dr. D. Purandeswari’s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00171.mp3,1,1,1219.3,F
"FULL SPEECH： Kamala Harris at the Ellipse in Washington, DC.mp3",Audio_01_00172.mp3,1,1,1782.63,F
President Droupadi Murmu addresses the Officer Trainees of Indian Police Service (74th RR Batch).mp3,Audio_01_00173.mp3,1,1,1556.69,F
"Lok Sabha Speaker Om Birla Congratulates D. Gukesh on Winning World Chess Championship ｜13 Dec, 2024.mp3",Audio_01_00174.mp3,1,1,90,M
"LS ｜ Papers laid on the table ｜ Committee Report ｜ Statements by Ministers  ｜ 13 Dec, 2024.mp3",Audio_01_00175.mp3,1,1,295.01,M
"Sukhdeo Bhagat’s Remarks｜ Discussion on the Journey of 75 Years of the Constitution ｜ 14 Dec, 2024.mp3",Audio_01_00176.mp3,1,1,442.8,M
"Message from Rajya Sabha ｜ Secretary General ｜ 14 December, 2024.mp3",Audio_01_00177.mp3,1,1,21.48,M
LS ｜ Anil Yeshwant Desai_s Remarks ｜ Supplementary Demands for Grants - First Batch for 2024-25.mp3,Audio_01_00178.mp3,1,1,445.01,M
Asaduddin Owaisi_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00179.mp3,1,1,545.04,M
"LS ｜ Saptagiri Sankar Ulaka_s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00180.mp3,1,1,515,M
"LS ｜ Question Hour ｜ Winter Session 2024 ｜ 11_00 AM - 12_00 PM ｜ 16 December, 2024.mp3",Audio_01_00181.mp3,1,1,3679.99,F
Watch： Full Speech Of Sushma Swaraj At UN.mp3,Audio_01_00182.mp3,1,1,1295.72,F
E.T. Mohammed Basheer’s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00183.mp3,1,1,533.97,M
Lavu Sri k Devarayalu_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00184.mp3,1,1,725.02,M
P. P. Chaudhary_s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00185.mp3,1,1,150.02,M
"LS ｜ Ram Shiromani Verma_s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00186.mp3,1,1,545.02,F
Hanuman Beniwal’s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00187.mp3,1,1,400.01,M
Sukhjinder S Randhawa’s Remarks ｜ Discussion on the Journey of 75 Years of the Constitution of India.mp3,Audio_01_00188.mp3,1,1,740.02,M
"LS ｜ Arun Nehru_s Remarks ｜ The Disaster Management (Amendment) Bill, 2024.mp3",Audio_01_00189.mp3,1,1,139.99,M
